genres,title,release_date,price,early_access,sentiment,metascore
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,2017-12-29,10.99,False,6 user reviews,0.0
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,2017-12-29,9.99,True,Mixed,0.0
"['Action', 'Indie']",Orbitality,2017-12-29,9.99,False,1 user reviews,0.0
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,2017-12-30,1.99,False,5 user reviews,0.0
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,0.99,False,2 user reviews,0.0
['Action'],Advent Rising,2005-08-09,9.99,False,Mostly Positive,70.0
"['Indie', 'Strategy']",DEFCON,2006-09-29,9.99,False,Very Positive,84.0
"['Action', 'Indie', 'RPG']",The Ship: Single Player,2006-11-20,9.99,False,Mixed,0.0
"['Indie', 'Simulation']",Garry's Mod,2006-11-29,9.99,False,Overwhelmingly Positive,0.0
['Racing'],RACE - The WTCC Game,2006-11-24,39.99,False,Mostly Positive,0.0
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006-12-19,4.99,False,Mixed,69.0
['Strategy'],Ghost Master®,2003-08-23,4.99,False,Very Positive,81.0
['Strategy'],Vegas: Make It Big™,2006-12-21,4.99,False,Mostly Positive,0.0
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006-04-17,19.99,False,Very Positive,75.0
['Racing'],FlatOut 2™,2006-08-01,9.99,False,Very Positive,76.0
['Racing'],FlatOut,2005-07-12,7.49,False,Very Positive,72.0
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007-06-26,14.99,False,Mostly Positive,66.0
['Strategy'],CivCity: Rome,2006-07-24,9.99,False,Mostly Positive,67.0
['RPG'],Arx Fatalis,2002-11-12,4.99,False,Very Positive,77.0
"['Action', 'Adventure', 'RPG']",The Longest Journey,2000-11-17,9.99,False,Very Positive,91.0
['Strategy'],Civilization IV®: Warlords,2006-07-24,4.99,False,Very Positive,84.0
['Strategy'],Railroad Tycoon 3,2003-10-23,9.99,False,Mostly Positive,80.0
['Strategy'],Sid Meier's Railroads!,2006-10-16,9.99,False,Mixed,77.0
['Strategy'],Railroad Tycoon II Platinum,1998-10-31,4.99,False,Very Positive,89.0
"['Casual', 'Indie']",RIP - Trilogy™,2007-06-01,4.99,False,Mixed,0.0
['Strategy'],X-COM: Terror From the Deep,1995-04-01,4.99,False,Very Positive,0.0
"['Action', 'Adventure']",Tomb Raider: Anniversary,2007-06-05,8.99,False,Very Positive,83.0
['Action'],Devil May Cry® 3 Special Edition,2006-05-23,19.99,False,Mixed,66.0
"['Action', 'Adventure']",Sam &amp; Max 101: Culture Shock,2006-10-17,19.99,False,Very Positive,0.0
['Action'],Final DOOM,1996-06-17,4.99,False,Very Positive,0.0
"['Action', 'Adventure']",Sam &amp; Max 102: Situation: Comedy,2006-12-20,19.99,False,Positive,0.0
['Action'],Ultimate Doom,1995-04-30,4.99,False,Very Positive,0.0
['Action'],Master Levels for Doom II,1995-06-01,14.99,False,Very Positive,0.0
['Action'],DOOM II,1994-05-05,4.99,False,Very Positive,83.0
['Action'],Wolfenstein 3D,1994-08-03,4.99,False,Very Positive,0.0
['Action'],Return to Castle Wolfenstein,2001-11-20,4.99,False,Very Positive,88.0
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,2.99,False,Very Positive,0.0
['Action'],Spear of Destiny,1993-10-10,2.99,False,Very Positive,0.0
['Action'],BloodRayne,2003-09-09,9.99,False,Mostly Positive,65.0
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,2.99,False,Very Positive,0.0
['Action'],QUAKE,2007-05-31,4.99,False,Overwhelmingly Positive,94.0
['Strategy'],Genesis Rising,2007-03-20,4.99,False,Mostly Negative,57.0
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,12.99,False,Very Positive,0.0
"['Action', 'RPG']",BioShock™,2007-08-21,19.99,False,Very Positive,96.0
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,12.99,False,Overwhelmingly Positive,86.0
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,12.99,False,Overwhelmingly Positive,87.0
['Strategy'],Rome: Total War™ - Collection,2004-09-22,9.99,False,Very Positive,92.0
['Strategy'],Rome: Total War™ - Alexander,2006-06-26,4.99,False,Mostly Positive,79.0
['Casual'],Mystery Case Files: Madame Fate®,2007-12-14,6.99,False,Mostly Positive,0.0
['Action'],Manhunt,2004-04-20,9.99,False,Mixed,75.0
['Racing'],Midnight Club 2,2003-07-01,9.99,False,Very Positive,81.0
['Action'],Max Payne 2: The Fall of Max Payne,2003-10-14,9.99,False,Very Positive,86.0
"['Action', 'Adventure']",Tomb Raider: Legend,2006-04-07,6.99,False,Very Positive,82.0
['Action'],Max Payne,2001-07-25,9.99,False,Very Positive,89.0
['Strategy'],Command &amp; Conquer: Red Alert 3,2008-10-28,19.99,False,Very Positive,82.0
['Casual'],PuzzleQuest: Challenge of the Warlords,2007-10-10,9.99,False,Very Positive,84.0
"['RPG', 'Casual', 'Adventure']",Culpa Innata,2007-10-23,9.99,False,Very Positive,66.0
['Strategy'],Prison Tycoon 3™: Lockdown,2007-08-01,9.99,False,Very Negative,0.0
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,2007-09-01,9.99,False,Mostly Positive,0.0
['Racing'],18 Wheels of Steel: American Long Haul,2007-12-03,9.99,False,Mostly Positive,0.0
['Action'],Conflict: Denied Ops,2008-02-08,5.99,False,Mixed,58.0
['Action'],ARMA: Combat Operations,2007-05-08,7.99,False,Mixed,74.0
['Simulation'],Tycoon City: New York,2006-02-21,9.99,False,Mostly Negative,67.0
['Action'],Desperados 2: Cooper's Revenge,2006-05-02,9.99,False,Mixed,66.0
"['Action', 'Adventure']",Death to Spies,2007-10-16,4.99,False,Mostly Positive,69.0
['Action'],Act of War: High Treason,2006-05-30,2.99,False,Very Positive,74.0
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2006-10-26,19.99,False,Very Positive,81.0
['Action'],Act of War: Direct Action,2005-03-14,2.99,False,Very Positive,82.0
['Action'],Unreal 2: The Awakening,2003-02-03,14.99,False,Mostly Positive,75.0
['Action'],Unreal Gold,1998-04-30,9.99,False,Overwhelmingly Positive,0.0
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,2008-03-21,4.99,False,Positive,57.0
['Action'],Tom Clancy's Splinter Cell®,2003-02-18,9.99,False,Very Positive,91.0
['Action'],Far Cry®,2004-03-23,9.99,False,Very Positive,89.0
['Action'],Unreal Tournament: Game of the Year Edition,2000-10-25,9.99,False,Overwhelmingly Positive,92.0
['Action'],Tom Clancy's Rainbow Six® Vegas,2006-12-12,9.99,False,Mostly Positive,85.0
['Simulation'],Silent Hunter® III,2005-03-15,9.99,False,Very Positive,90.0
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,2008-05-28,9.99,False,Positive,0.0
['Casual'],Mystery P.I.™ - The Vegas Heist,2008-06-04,4.99,False,9 user reviews,0.0
['Casual'],Luxor,2008-06-10,9.99,False,Mixed,0.0
['Casual'],Reaxxion,2008-06-10,9.99,False,Mostly Positive,0.0
['Casual'],Little Farm,2008-06-10,9.99,False,Mostly Positive,0.0
['Casual'],7 Wonders II,2008-06-10,9.99,False,Positive,0.0
['Casual'],Luxor Amun Rising,2005-12-08,9.99,False,8 user reviews,0.0
['Casual'],Luxor 3,2007-11-13,9.99,False,Positive,0.0
['Simulation'],Petz® Horsez® 2,2007-11-13,9.99,False,Mixed,0.0
['Casual'],Luxor 2,2005-12-08,9.99,False,Mixed,0.0
"['Action', 'Adventure']",Rayman Raving Rabbids™,2007-03-27,9.99,False,Mostly Positive,58.0
['Simulation'],Silent Hunter®: Wolves of the Pacific,2007-03-20,9.99,False,Mixed,79.0
['Simulation'],IL-2 Sturmovik: 1946,2006-12-15,9.99,False,Very Positive,86.0
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,9.99,False,Very Positive,0.0
['Adventure'],Bone: Out From Boneville,2005-09-15,9.99,False,Mixed,68.0
['Racing'],Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,False,Negative,0.0
['Adventure'],Bone: The Great Cow Race,2006-04-12,9.99,False,Mixed,76.0
['Racing'],Sprint Cars Road to Knoxville,2008-07-29,9.99,False,Mixed,0.0
['Simulation'],Ride! Carnival Tycoon,2007-07-02,9.99,False,Mixed,0.0
['Casual'],Mahjongg Investigations: Under Suspicion,2007-08-08,9.99,False,7 user reviews,0.0
['Adventure'],Dracula Origin,2008-05-20,9.99,False,Mixed,70.0
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,2008-04-14,9.99,False,Mostly Positive,71.0
"['Adventure', 'Indie']",Eternity's Child,2008-07-31,4.99,False,Negative,0.0
"['Simulation', 'Strategy']",Pacific Storm Allies,2007-05-25,7.99,False,Mixed,60.0
"['Action', 'Indie']",Tank Universal,2008-08-21,4.99,False,Mixed,0.0
['Racing'],FlatOut: Ultimate Carnage,2008-08-19,19.99,False,Very Positive,79.0
['Adventure'],Oddworld: Abe's Exoddus®,1998-11-17,2.99,False,Very Positive,0.0
['Adventure'],Oddworld: Abe's Oddysee®,1997-12-12,2.99,False,Very Positive,0.0
['Racing'],GTR Evolution Expansion Pack for RACE 07,2008-09-01,7.99,False,Positive,83.0
['Strategy'],X-COM: Enforcer,2001-04-19,4.99,False,Mixed,65.0
['Strategy'],X-COM: Apocalypse,1997-07-15,4.99,False,Very Positive,0.0
['Strategy'],X-COM: UFO Defense,1993-12-31,4.99,False,Overwhelmingly Positive,0.0
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,2008-09-15,9.99,False,Very Positive,75.0
['Action'],Crysis Warhead®,2008-09-17,19.99,False,Very Positive,84.0
['Action'],Crysis,2007-11-13,19.99,False,Very Positive,91.0
['Strategy'],X-COM: Interceptor,1998-06-15,4.99,False,Mixed,0.0
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,2008-09-16,9.99,False,Very Positive,86.0
['Indie'],Multiwinia,2008-09-19,9.99,False,Very Positive,76.0
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,2.99,False,Positive,0.0
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,2008-08-28,2.49,False,Positive,0.0
['Strategy'],Sid Meier's Civilization IV: Colonization,2008-09-23,19.99,False,Mostly Positive,83.0
['Action'],Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,9.99,False,Very Positive,85.0
"['Action', 'Adventure']",LEGO Batman,2008-09-29,19.99,False,Very Positive,80.0
"['Simulation', 'Strategy']",City Life 2008,2008-07-18,9.99,False,Mixed,0.0
"['RPG', 'Strategy']",Hinterland,2008-09-30,9.99,False,Mostly Positive,65.0
['Action'],Brothers in Arms: Hell's Highway™,2008-10-08,9.99,False,Very Positive,79.0
"['Indie', 'Casual']",Gravitron 2,2008-08-31,4.99,False,Mixed,0.0
['Racing'],Xpand Rally Xtreme,2006-12-01,4.99,False,Mixed,0.0
['Strategy'],Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,9.99,False,Mostly Positive,66.0
['Action'],Brothers in Arms: Earned in Blood™,2005-10-04,9.99,False,Very Positive,84.0
['Strategy'],Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,9.99,False,Very Positive,70.0
['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19.99,False,Mostly Positive,66.0
['Casual'],Brain Spa,2007-09-25,9.99,False,4 user reviews,0.0
['Action'],The Sum of All Fears,2002-05-31,9.99,False,Positive,72.0
['Casual'],Peggle™ Nights,2008-10-15,4.99,False,Very Positive,76.0
['Indie'],World of Goo,2008-10-13,9.99,False,Very Positive,90.0
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,2008-10-16,15.99,False,Very Positive,73.0
"['Casual', 'Indie']",Spectraball,2008-10-20,4.99,False,Mostly Positive,0.0
"['Indie', 'Casual', 'Sports']",Galactic Bowling,2008-10-21,19.99,False,Mixed,0.0
"['Action', 'Adventure']",Bully: Scholarship Edition,2008-10-21,14.99,False,Very Positive,72.0
['Action'],Far Cry® 2: Fortune's Edition,2008-10-22,9.99,False,Mostly Positive,85.0
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,2008-10-23,4.99,False,Mixed,0.0
['Simulation'],PRR Wagon Pack 01,2009-01-01,4.99,False,2 user reviews,0.0
['Simulation'],"Class 421 London South East ""Jaffa Cake""",2009-01-01,4.99,False,3 user reviews,0.0
['Simulation'],ATSF Wagon Pack 01,2009-01-01,4.99,False,Sin comentarios,0.0
['Simulation'],GP20 Union Pacific Add-on Livery,2009-01-01,4.99,False,Sin comentarios,0.0
['Simulation'],UK Van Wagon Pack,2009-01-01,4.99,False,1 user reviews,0.0
['Simulation'],CSX SD70MAC Add-on Livery,2009-01-01,4.99,False,Sin comentarios,0.0
['Simulation'],CSX ES44AC Add-on Livery,2009-01-01,4.99,False,Sin comentarios,0.0
['Action'],Saints Row 2,2009-01-28,9.99,False,Mostly Positive,72.0
['Action'],Dead Space,2008-10-20,19.99,False,Very Positive,86.0
['RPG'],Rise of the Argonauts,2008-12-16,9.99,False,Mostly Positive,59.0
"['Action', 'Adventure']",Mirror's Edge™,2009-01-13,19.99,False,Very Positive,81.0
"['Indie', 'Strategy']",Defense Grid: The Awakening,2008-12-08,9.99,False,Overwhelmingly Positive,81.0
['Action'],F.E.A.R. 2: Project Origin,2009-02-12,14.99,False,Very Positive,79.0
"['Strategy', 'Indie']",Harvest: Massive Encounter,2008-03-05,7.99,False,Mostly Positive,0.0
"['Indie', 'Strategy']",Mayhem Intergalactic,2007-07-04,9.99,False,Mostly Positive,0.0
"['Action', 'Indie']",Larva Mortus,2009-03-19,4.99,False,Mostly Positive,64.0
['Strategy'],Knights of Honor,2005-05-10,9.99,False,Very Positive,77.0
"['Action', 'Adventure', 'Strategy']",Ceville,2009-02-27,5.99,False,Very Positive,73.0
['Strategy'],Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-03-04,2.99,False,Positive,0.0
['Action'],Watchmen: The End is Nigh,2009-03-04,4.99,False,Mixed,61.0
"['Action', 'Adventure', 'Indie']",Penumbra Overture,2007-03-30,9.99,False,Very Positive,73.0
['Action'],Unreal Tournament 3 Black,2007-11-19,19.99,False,Very Positive,83.0
['RPG'],Drakensang,2009-02-27,9.99,False,Very Positive,75.0
"['Indie', 'Simulation']",The Graveyard,2008-03-21,4.99,False,Mixed,0.0
['Racing'],Burnout Paradise: The Ultimate Box,2009-02-03,19.99,False,Very Positive,87.0
"['Action', 'Indie']",The Maw,2009-03-09,9.99,False,Very Positive,75.0
"['Action', 'Indie']",The Maw: River Redirect,2009-03-16,1.25,False,Sin comentarios,0.0
"['Action', 'Indie']",The Maw: Brute Force,2009-03-16,1.25,False,3 user reviews,0.0
"['Casual', 'Indie']",Obulis,2009-03-19,4.99,False,Very Positive,0.0
['Indie'],Space Giraffe,2009-03-19,9.99,False,Mostly Positive,0.0
"['Simulation', 'Strategy']",Codename: Panzers - Cold War,2009-03-10,14.99,False,Mixed,0.0
['Casual'],Escape Rosecliff Island,2009-04-15,4.99,False,Mixed,0.0
"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall®,2006-10-27,19.99,False,Sin comentarios,84.0
"['RPG', 'Massively Multiplayer']",Guild Wars® Game of the Year Edition,2005-04-28,19.99,False,6 user reviews,89.0
"['RPG', 'Massively Multiplayer']",Guild Wars Factions®,2006-04-28,19.99,False,Sin comentarios,84.0
"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,2008-09-25,29.99,False,Positive,0.0
['Casual'],Puzzle Kingdoms,2009-04-16,14.99,False,Mixed,0.0
['Casual'],Samantha Swift and the Golden Touch,2009-04-29,9.99,False,Mixed,0.0
['RPG'],Two Worlds Epic Edition,2009-04-30,9.99,False,Mostly Positive,65.0
['Strategy'],Helldorado,2009-04-30,9.99,False,Mixed,65.0
"['Action', 'Adventure', 'RPG']",X-Blades,2009-02-10,9.99,False,Mixed,54.0
"['Action', 'Indie']",Zeno Clash,2009-04-21,9.99,False,Very Positive,77.0
['Indie'],The Maw: Speeder Lane,2009-04-29,1.25,False,1 user reviews,0.0
"['RPG', 'Strategy']",King's Bounty: The Legend,2008-09-23,6.99,False,Very Positive,79.0
"['Casual', 'Simulation']",Virtual Families,2009-05-06,9.99,False,Mostly Positive,0.0
['Racing'],Death Track®: Resurrection,2009-05-06,2.99,False,Mixed,53.0
"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,2005-03-08,4.99,False,Very Positive,0.0
"['RPG', 'Strategy']",Freedom Force,2002-03-26,4.99,False,Mixed,90.0
"['Indie', 'Simulation', 'Strategy']",Light of Altair,2009-06-04,14.99,False,Positive,66.0
"['Action', 'Adventure']",Prototype™,2009-06-10,19.99,False,Very Positive,79.0
['Strategy'],Port Royale 2,2004-04-30,4.99,False,Mixed,75.0
['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,14.99,False,Very Positive,94.0
['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,14.99,False,Very Positive,89.0
['Adventure'],Ankh 2: Heart of Osiris,2007-05-18,4.99,False,Mixed,0.0
['Simulation'],Armored Fist 3,1999-09-01,9.99,False,Mostly Positive,0.0
['Simulation'],MiG-29 Fulcrum,1998-09-07,9.99,False,Mostly Positive,0.0
['Strategy'],BC Kings,2008-09-15,4.99,False,Mixed,0.0
['Action'],Call of Juarez®: Bound in Blood,2009-06-30,9.99,False,Very Positive,78.0
['Adventure'],Nancy Drew®: Legend of the Crystal Skull,2007-10-01,6.99,False,Positive,79.0
['Adventure'],Nancy Drew®: The Creature of Kapu Cave,2006-10-01,6.99,False,Positive,68.0
['Adventure'],Nancy Drew®: The Phantom of Venice,2008-07-01,6.99,False,Positive,69.0
['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,6.99,False,Positive,73.0
"['Simulation', 'Sports']",Hunting Unlimited 2010,2009-07-07,9.99,False,Mostly Positive,0.0
['Adventure'],Tales of Monkey Island Complete Pack,2009-07-07,19.99,False,Very Positive,79.0
['Action'],Street Fighter® IV,2009-07-07,19.99,False,Mostly Positive,91.0
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,2007-10-09,9.99,False,Very Positive,70.0
['Adventure'],Indiana Jones® and the Fate of Atlantis™,1992-06-01,5.99,False,Very Positive,0.0
['Action'],Armed and Dangerous®,2003-12-02,5.99,False,Very Positive,78.0
['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,9.99,False,Very Positive,78.0
['Adventure'],Indiana Jones® and the Last Crusade™,1989-07-01,5.99,False,Mostly Positive,0.0
"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,2008-06-03,19.99,False,Mostly Positive,78.0
['Adventure'],The Secret of Monkey Island: Special Edition,2009-07-15,9.99,False,Overwhelmingly Positive,86.0
['Strategy'],Warfare,2008-11-20,12.99,False,Mostly Positive,0.0
"['Action', 'Racing']",Clutch,2009-06-02,9.99,False,Mostly Positive,51.0
['Adventure'],Nancy Drew®: Ransom of the Seven Ships,2009-07-21,6.99,False,Mixed,78.0
['Sports'],3D Ultra™ Minigolf Adventures,2006-12-20,9.99,False,Mostly Positive,0.0
['Adventure'],King's Quest™ Collection,2006-09-01,19.99,False,Mostly Positive,0.0
['Action'],TimeShift™,2007-10-30,19.99,False,Mostly Positive,71.0
['Adventure'],Space Quest™ Collection,2006-09-01,19.99,False,Mostly Positive,0.0
['Action'],Killing Floor Outbreak Character Pack,2009-07-24,7.99,False,Positive,0.0
"['Action', 'Casual']",Aces of the Galaxy™,2008-06-04,9.99,False,Mixed,0.0
"['Simulation', 'Strategy']",Tropico Reloaded,2009-07-24,6.99,False,Very Positive,0.0
['Casual'],Mystery P.I. - Lost in Los Angeles,2009-07-27,4.99,False,9 user reviews,0.0
['Action'],Bionic Commando: Rearmed,2008-08-14,9.99,False,Mostly Positive,86.0
"['Action', 'Adventure']",Bionic Commando,2009-07-28,9.99,False,Mostly Positive,69.0
['Action'],Watchmen: The End is Nigh Part 2,2009-07-29,4.99,False,Mixed,44.0
"['Action', 'Indie']",Foreign Legion: Buckets of Blood,2009-08-04,4.99,False,Mixed,0.0
"['Adventure', 'RPG']",STAR WARS™ - Knights of the Old Republic™,2003-11-19,9.99,False,Very Positive,0.0
"['Indie', 'Casual']",Osmos,2009-08-18,9.99,False,Very Positive,80.0
['RPG'],Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,9.99,False,Very Positive,86.0
['Strategy'],Fallout Tactics: Brotherhood of Steel,2001-03-01,9.99,False,Very Positive,82.0
['Action'],Kingpin — Life of Crime,1999-06-01,9.99,False,Very Positive,0.0
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,19.99,False,Positive,0.0
['Casual'],Jewel Quest Pack,2009-08-24,19.99,False,Positive,0.0
['Casual'],Mahjong Quest Collection,2009-08-24,9.99,False,Positive,0.0
"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,4.99,False,Very Positive,84.0
['Action'],Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,9.99,False,Very Positive,92.0
"['Action', 'Racing']",Crash Time 2,2009-08-27,9.99,False,Mixed,0.0
['Strategy'],XIII Century – Gold Edition,2009-08-28,4.99,False,Mixed,0.0
['Simulation'],World of Zoo,2009-10-30,14.99,False,Mostly Positive,0.0
['Simulation'],18 Wheels of Steel: Extreme Trucker,2009-09-23,9.99,False,Mixed,0.0
"['Action', 'Adventure']",Mini Ninjas,2009-09-08,9.99,False,Very Positive,74.0
['Casual'],Freeze Tag Fun Pack #2,2009-09-23,19.99,False,Sin comentarios,0.0
['Casual'],Freeze Tag Fun Pack #1,1999-11-30,19.99,False,Sin comentarios,0.0
"['Adventure', 'Casual', 'Indie']",Windosill,2009-05-26,2.99,False,Very Positive,0.0
['Simulation'],Train Simulator: Colton &amp; Northern Route Add-On,2009-09-25,24.99,False,Mixed,0.0
"['Adventure', 'Casual']",Midnight Mysteries,2009-09-28,9.99,False,Mostly Positive,0.0
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,19.99,False,Positive,0.0
['Action'],Joint Operations: Combined Arms Gold,2009-08-18,19.99,False,Very Positive,0.0
['Simulation'],Train Simulator: US Loco &amp; Asset Pack,2009-10-01,17.99,False,Positive,0.0
['Simulation'],DinerTown Tycoon,2009-09-30,9.99,False,Mixed,0.0
['Simulation'],Train Simulator: European Loco &amp; Asset Pack,2009-10-01,19.99,False,Very Positive,0.0
['RPG'],Risen,2009-10-30,9.99,False,Very Positive,77.0
['Casual'],Flora's Fruit Farm,2009-10-01,3.99,False,Mostly Positive,0.0
['Strategy'],Empire: Total War™ - The Warpath Campaign,2009-10-05,9.99,False,Mostly Positive,0.0
"['Adventure', 'Indie']",Machinarium,2009-10-16,9.99,False,Overwhelmingly Positive,85.0
['Action'],Medal of Honor: Airborne,2007-09-04,9.99,False,Mostly Positive,78.0
['Racing'],Need for Speed: Shift,2009-09-15,19.99,False,Mostly Positive,83.0
['RPG'],Torchlight,2009-10-27,14.99,False,Very Positive,83.0
['Strategy'],Command &amp; Conquer: Red Alert 3 - Uprising,2009-03-12,19.99,False,Very Positive,0.0
['Strategy'],The Stronghold Collection,2009-10-27,19.99,False,Very Positive,0.0
['Strategy'],East India Company: Privateer,2009-10-27,4.99,False,1 user reviews,63.0
['Action'],Painkiller: Resurrection,2009-10-27,9.99,False,Mostly Negative,38.0
"['RPG', 'Strategy']",SpellForce 2 - Anniversary Edition,2009-10-29,14.99,False,Mostly Positive,80.0
['Adventure'],Secret Files: Tunguska,2009-10-29,9.99,False,Very Positive,0.0
['Strategy'],Rush for Berlin Gold,2009-10-29,4.99,False,Very Positive,76.0
['Adventure'],Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,19.99,False,Mixed,0.0
['Strategy'],Men of War: Red Tide,2009-11-01,4.99,False,Very Positive,77.0
"['Action', 'Indie']",Hammerfight,2009-09-19,4.99,False,Very Positive,0.0
